mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b,match_type
1085724,abdi boru primary clinic,oromia,f9dRHxYDzjk,abdi bori primary clinic,oromia,0.8108201026916504,abdi boru primary clinic woreda:Odo Shakiso region:oromia zone:Guji Zone,abdi bori primary clinic region:oromia zone:West Wellega  ZHD,confirmed
1085735,adigrat pharmacy,tigray,E9oW2xxqs3v,adigrat hospital,tigray,0.8099880814552307,adigrat pharmacy woreda:Adigrat Town region:tigray zone:Eastern Zone,adigrat hospital region:tigray zone:Eastern ZHD,confirmed
1085735,adigrat pharmacy,tigray,zfiv9qFa6un,adigrat clinic,tigray,0.8328776359558105,adigrat pharmacy woreda:Adigrat Town region:tigray zone:Eastern Zone,adigrat clinic region:tigray zone:Eastern ZHD,confirmed
1085748,nekemte rehabilitation center,oromia,IClqEqLpUbb,nekemte dic center dialysis clinic,oromia,0.8528947830200195,nekemte rehabilitation center woreda:Nekemte Town region:oromia zone:Nekemte Town,nekemte dic center dialysis clinic region:oromia zone:Nekemte Town ZHD,confirmed
1085906,hibret medium clinic,tigray,cmYgio5xVhe,hibret medium clinic,tigray,0.8054280281066895,hibret medium clinic woreda:Mekoni Town region:tigray zone:Southern Zone,hibret medium clinic region:tigray zone:Western ZHD,confirmed
1085967,arsema medium clinic,tigray,xpmYs6ZEQX6,arsema medium clinic,tigray,0.8312909007072449,arsema medium clinic woreda:Samre Woreda region:tigray zone:South East Zone,arsema medium clinic region:tigray zone:Southern ZHD,confirmed
1086013,ahsia health center,tigray,KQia2TGXZql,ahsea health center,tigray,0.853633463382721,ahsia health center woreda:Ahsea Woreda region:tigray zone:Central Zone,ahsea health center region:tigray zone:Central ZHD,confirmed
1086046,mehoni pharmacy,tigray,UOZ7PUgfqiL,mehoni sti clinic,tigray,0.8046501278877258,mehoni pharmacy woreda:Mekoni Town region:tigray zone:Southern Zone,mehoni sti clinic region:tigray zone:Southern ZHD,confirmed
1086213,haileselassie,tigray,FFqRUeqwMhp,haileslassie clinic,tigray,0.8349902629852295,haileselassie woreda:Semen region:tigray zone:Mekelle Zone,haileslassie clinic region:tigray zone:Mekelle ZHD,confirmed
1086323,mayweyni health post,tigray,URxRnZoeWhG,may weyni health post,tigray,0.8144716024398804,mayweyni health post woreda:Rama adearbaete region:tigray zone:Central Zone,may weyni health post region:tigray zone:Central ZHD,confirmed
1086347,erdi jeganu health post,tigray,fSNiRI8uT6N,erdi jeganu health post,tigray,0.8555232286453247,erdi jeganu health post woreda:Egela Woreda region:tigray zone:Central Zone,erdi jeganu health post region:tigray zone:Central ZHD,confirmed
1086405,raya medium clinic,tigray,LsDVbPQZk1D,raya medium clinic,tigray,0.8879605531692505,raya medium clinic woreda:Raya Chercher Woreda region:tigray zone:Southern Zone,raya medium clinic region:tigray zone:Southern ZHD,confirmed
1086521,mahberedego health center,tigray,rtYjJeZngEA,mahberedego health center,tigray,0.858202338218689,mahberedego health center woreda:Naeder Woreda region:tigray zone:Central Zone,mahberedego health center region:tigray zone:Central ZHD,confirmed
1086529,daero hafash health center,tigray,WezG4P16D0r,daerohafash health post,tigray,0.8134586215019226,daero hafash health center woreda:Naeder Woreda region:tigray zone:Central Zone,daerohafash health post region:tigray zone:Central ZHD,confirmed
1086536,serihka bilae health post,tigray,xu85OcvJrfk,serihka bilae health post,tigray,0.8759819269180298,serihka bilae health post woreda:Naeder Woreda region:tigray zone:Central Zone,serihka bilae health post region:tigray zone:Central ZHD,confirmed
1086552,teregey health center,tigray,ZH5cDwp4tju,teregey health center,tigray,0.840425431728363,teregey health center woreda:Naeder Woreda region:tigray zone:Central Zone,teregey health center region:tigray zone:Central ZHD,confirmed
1086552,teregey health center,tigray,CzVpaZO1lbs,teregey health post,tigray,0.8234562873840332,teregey health center woreda:Naeder Woreda region:tigray zone:Central Zone,teregey health post region:tigray zone:Central ZHD,confirmed
1086635,tsetsera health center,tigray,woQWiyOengI,tsetsera health post,tigray,0.8026637434959412,tsetsera health center woreda:Keyih Tekli Woreda region:tigray zone:Central Zone,tsetsera health post region:tigray zone:Southern ZHD,confirmed
1086695,brhan medium clinic,tigray,IIzS8F9bzZS,brhanu medium clinic,tigray,0.8268546462059021,brhan medium clinic woreda:Qedamay Woyane region:tigray zone:Mekelle Zone,brhanu medium clinic region:tigray zone:Mekelle ZHD,confirmed
1086809,rubakeze health center,tigray,BaCAuRkJEMM,rubakeze health center,tigray,0.8139232993125916,rubakeze health center woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,rubakeze health center region:tigray zone:Central ZHD,confirmed
