,,name_exact,name_levenshtein,name_jaro_winkler,name_cosine,region_exact,feature_sum,feature_mean
49,8736,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
50,8207,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
50,8213,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
50,8324,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
51,3108,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
51,3303,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
51,3893,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
51,4013,0,1.0,1.0,0.0,1,3.0,1.0
51,5379,0,1.0,1.0,0.0,1,3.0,1.0
51,5508,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
52,5165,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
53,5010,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
53,5312,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
53,5313,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
53,5672,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
54,5963,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
54,6117,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
56,3191,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
56,3743,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
56,3847,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
56,4778,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
56,5037,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
56,5087,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
57,2978,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
57,4698,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
58,8452,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
58,8491,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
58,8562,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
59,2901,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
59,2906,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
59,3357,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
59,3358,0,0.0,1.0,1.0,1,3.0,1.0
60,8586,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
62,5271,0,0.0,1.0,1.0,1,3.0,1.0
62,5272,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
63,3217,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
63,3732,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
63,4014,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
63,5808,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
64,8741,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
66,3399,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
67,2614,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
67,2701,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
68,4533,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
68,5092,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
68,5435,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
70,4018,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
71,3983,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
74,8097,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
74,8436,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
75,3645,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
75,4413,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
75,5436,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
76,4012,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
77,8363,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
77,8373,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
79,8472,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
82,3888,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
82,4052,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
82,5833,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
83,2676,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
84,2698,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
85,8515,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
86,8078,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
86,8245,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
86,8742,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
87,8794,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
88,8351,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
88,8408,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
88,8409,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
90,3141,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
91,4971,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
91,4973,0,0.0,1.0,1.0,1,3.0,1.0
93,2848,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
93,4027,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
93,4274,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
93,4976,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
94,4450,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
95,2854,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
95,3536,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
97,2899,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
97,3717,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
97,5766,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
97,5767,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
99,8411,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
99,8431,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
99,8480,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
100,8086,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
100,8345,0,0.0,1.0,1.0,1,3.0,1.0
100,8777,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
101,8355,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
101,8712,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
102,8301,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
103,2964,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
103,3412,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
103,3895,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
